POSITION;FUNCTION;PORT
IOB tile[0, 0] coord[30, 31] Output1;BRAM3_RADDR[8];
IOB tile[0, 0] coord[31, 0] Output0;BRAM7_RADDR[5];
IOB tile[0, 0] coord[31, 0] Output1;BRAM7_RADDR[4];
IOB tile[0, 0] coord[31, 1] Output0;BRAM7_RADDR[7];
IOB tile[0, 0] coord[31, 1] Output1;BRAM7_RADDR[6];
IOB tile[0, 0] coord[31, 2] Output0;BRAM7_RADDR[3];
IOB tile[0, 0] coord[31, 2] Output1;BRAM7_RADDR[2];
IOB tile[0, 0] coord[31, 3] Output0;BRAM7_RADDR[1];
IOB tile[0, 0] coord[31, 3] Output1;BRAM7_RADDR[0];
IOB tile[0, 0] coord[31, 4] Output0;GPIO18_OUT [PIN 9];
IOB tile[0, 0] coord[31, 4] Output1;GPIO18_OE [PIN 9];
IOB tile[0, 0] coord[31, 4] Input0;GPIO18_IN [PIN 9];
IOB tile[0, 0] coord[31, 5] Output0;GPIO17_OUT [PIN 8];
IOB tile[0, 0] coord[31, 5] Output1;GPIO17_OE [PIN 8];
IOB tile[0, 0] coord[31, 5] Input0;GPIO17_IN [PIN 8];
IOB tile[0, 0] coord[31, 6] Output0;GPIO16_OUT [PIN 7];
IOB tile[0, 0] coord[31, 6] Output1;GPIO16_OE [PIN 7];
IOB tile[0, 0] coord[31, 6] Input0;GPIO16_IN [PIN 7];
IOB tile[0, 0] coord[31, 8] Output0;GPIO15_OUT [PIN 6];
IOB tile[0, 0] coord[31, 8] Output1;GPIO15_OE [PIN 6];
IOB tile[0, 0] coord[31, 8] Input0;GPIO15_IN [PIN 6];
IOB tile[0, 0] coord[31, 9] Output0;GPIO14_OUT [PIN 5];
IOB tile[0, 0] coord[31, 9] Output1;GPIO14_OE [PIN 5];
IOB tile[0, 0] coord[31, 9] Input0;GPIO14_IN [PIN 5];
IOB tile[0, 0] coord[31, 10] Output0;INT_FPGA_RESET;
IOB tile[0, 0] coord[31, 10] Input0;nRST [PIN 11];
IOB tile[0, 0] coord[31, 10] Input1;nSLEEP [PIN 10];
IOB tile[0, 0] coord[31, 11] Output0;REF_LOGIC_AS_CLK0;
IOB tile[0, 0] coord[31, 11] Output1;REF_LOGIC_AS_CLK1;
IOB tile[0, 0] coord[31, 11] Input0;FPGA_CORE_READY;
IOB tile[0, 0] coord[31, 11] Input1;FUNC_MODE;
IOB tile[0, 0] coord[31, 12] Output0;LOGIC_AS_CLK0_EN;
IOB tile[0, 0] coord[31, 12] Output1;LOGIC_AS_CLK1_EN;
IOB tile[0, 0] coord[31, 19] Output0;PLL_REFDIV[0];
IOB tile[0, 0] coord[31, 19] Output1;PLL_REFDIV[1];
IOB tile[0, 0] coord[31, 20] Output0;PLL_REFDIV[2];
IOB tile[0, 0] coord[31, 20] Output1;PLL_REFDIV[3];
IOB tile[0, 0] coord[31, 21] Output0;PLL_REFDIV[4];
IOB tile[0, 0] coord[31, 21] Output1;PLL_REFDIV[5];
IOB tile[0, 0] coord[31, 22] Output0;GPIO13_OUT [PIN 4];
IOB tile[0, 0] coord[31, 22] Output1;GPIO13_OE [PIN 4];
IOB tile[0, 0] coord[31, 22] Input0;GPIO13_IN [PIN 4];
IOB tile[0, 0] coord[31, 23] Output0;GPIO12_OUT [PIN 3];
IOB tile[0, 0] coord[31, 23] Output1;GPIO12_OE [PIN 3];
IOB tile[0, 0] coord[31, 23] Input0;GPIO12_IN [PIN 3];
IOB tile[0, 0] coord[31, 24] Output0;GPIO11_OUT [PIN 2];
IOB tile[0, 0] coord[31, 24] Output1;GPIO11_OE [PIN 2];
IOB tile[0, 0] coord[31, 24] Input0;GPIO11_IN [PIN 2];
IOB tile[0, 0] coord[31, 25] Output0;GPIO10_OUT [PIN 1];
IOB tile[0, 0] coord[31, 25] Output1;GPIO10_OE [PIN 1];
IOB tile[0, 0] coord[31, 25] Input0;GPIO10_IN [PIN 1];
IOB tile[0, 0] coord[31, 26] Output0;GPIO9_OUT [PIN 24];
IOB tile[0, 0] coord[31, 26] Output1;GPIO9_OE [PIN 24];
IOB tile[0, 0] coord[31, 26] Input0;GPIO9_IN [PIN 24];
IOB tile[0, 0] coord[31, 27] Output0;GPIO8_OUT [PIN 23];
IOB tile[0, 0] coord[31, 27] Output1;GPIO8_OE [PIN 23];
IOB tile[0, 0] coord[31, 27] Input0;GPIO8_IN [PIN 23];
IOB tile[0, 0] coord[31, 28] Output0;BRAM3_RADDR[1];
IOB tile[0, 0] coord[31, 28] Output1;BRAM3_RADDR[0];
IOB tile[0, 0] coord[31, 29] Output0;BRAM3_RADDR[3];
IOB tile[0, 0] coord[31, 29] Output1;BRAM3_RADDR[2];
IOB tile[0, 0] coord[31, 30] Output0;BRAM3_RADDR[7];
IOB tile[0, 0] coord[31, 30] Output1;BRAM3_RADDR[6];
IOB tile[0, 0] coord[31, 31] Output0;BRAM3_RADDR[5];
IOB tile[0, 0] coord[31, 31] Output1;BRAM3_RADDR[4];
